Delivery Method,Area Codes,Area Name,Region,Rural,Rural Charge
Shipping - Waikato,3284,Eureka,Waikato,TRUE,39
Shipping - Waikato,3285,Aramiro,Waikato,TRUE,39
Shipping - Waikato,3288,Te Kowhai,Waikato,TRUE,39
Shipping - Waikato,3289,Whatawhata,Waikato,TRUE,39
Shipping - Waikato,3290,Temple View,Waikato,TRUE,39
Shipping - Waikato,3293,Waitetuna,Waikato,TRUE,39
Shipping - Waikato,3579,Hikuai,Waikato,TRUE,39
Shipping - Waikato,3771,Pukekapia,Waikato,TRUE,39
Shipping - Waikato,3772,Ruawaro,Waikato,TRUE,39
Shipping - Waikato,3889,Kawhia,Waikato,TRUE,39
Shipping - Waikato,3978,Mahoenui,Waikato,TRUE,39
Shipping - Waikato,3492,Mangakino,Waikato,TRUE,39
Shipping - Waikato,3471,Okauia,Waikato,TRUE,39
Shipping - Waikato,3472,Hinuera,Waikato,TRUE,39
Shipping - Waikato,3473,Kaimai,Waikato,TRUE,39
Shipping - Waikato,2474,Mercer,Waikato,TRUE,39
Shipping - Waikato,4376,Awakino,Waikato,TRUE,39
Shipping - Waikato,3371,Kiwitahi,Waikato,TRUE,39
Shipping - Waikato,3372,Motumaoho,Waikato,TRUE,39
Shipping - Waikato,3373,Tahuna,Waikato,TRUE,39
Shipping - Waikato,3374,Te Puninga,Waikato,TRUE,39
Shipping - Waikato,3375,Morrinsville,Waikato,TRUE,39
Shipping - Waikato,3793,Waingaro,Waikato,TRUE,39
Shipping - Waikato,3794,Pepepe,Waikato,TRUE,39
Shipping - Waikato,3597,Ngatea,Waikato,TRUE,39
Shipping - Waikato,3881,Ohaupo,Waikato,TRUE,39
Shipping - Waikato,3882,Rukuhia,Waikato,TRUE,39
Shipping - Waikato,3883,Ngaroto,Waikato,TRUE,39
Shipping - Waikato,3784,Waiterimu,Waikato,TRUE,39
Shipping - Waikato,3885,Oparau,Waikato,TRUE,39
Shipping - Waikato,3886,Owhiro,Waikato,TRUE,39
Shipping - Waikato,3972,Maihiihi,Waikato,TRUE,39
Shipping - Waikato,3973,Honikiwi,Waikato,TRUE,39
Shipping - Waikato,3974,Te Kawa,Waikato,TRUE,39
Shipping - Waikato,3975,Maihiihi,Waikato,TRUE,39
Shipping - Waikato,3976,Hangatiki,Waikato,TRUE,39
Shipping - Waikato,3977,Hangatiki,Waikato,TRUE,39
Shipping - Waikato,3671,Netherton,Waikato,TRUE,39
Shipping - Waikato,3672,Netherton,Waikato,TRUE,39
Shipping - Waikato,3673,Tirohia,Waikato,TRUE,39
Shipping - Waikato,3674,Komata,Waikato,TRUE,39
Shipping - Waikato,2472,Pokeno,Waikato,TRUE,39
Shipping - Waikato,2473,Kaiaua,Waikato,TRUE,39
Shipping - Waikato,3880,Pukeatua,Waikato,TRUE,39
Shipping - Waikato,2677,Pukekohe East,Waikato,TRUE,39
Shipping - Waikato,3481,Te Waotu,Waikato,TRUE,39
Shipping - Waikato,3482,Ngatira,Waikato,TRUE,39
Shipping - Waikato,3483,Putaruru,Waikato,TRUE,39
Shipping - Waikato,3295,Te Uku,Waikato,TRUE,39
Shipping - Waikato,3296,Ruapuke,Waikato,TRUE,39
Shipping - Waikato,3297,Raglan,Waikato,TRUE,39
Shipping - Waikato,3081,Tahorakui,Waikato,TRUE,39
Shipping - Waikato,3083,Tahorakui,Waikato,TRUE,39
Shipping - Waikato,3072,Tarukenga,Waikato,TRUE,39
Shipping - Waikato,3073,Waimangu,Waikato,TRUE,39
Shipping - Waikato,3791,Komakorau,Waikato,TRUE,39
Shipping - Waikato,3792,Orini,Waikato,TRUE,39
Shipping - Waikato,3377,Oruanui,Waikato,TRUE,39
Shipping - Waikato,3378,Waipahihi,Waikato,TRUE,39
Shipping - Waikato,3391,Manawaru,Waikato,TRUE,39
Shipping - Waikato,3392,Mangaiti,Waikato,TRUE,39
Shipping - Waikato,3393,Mangaiti,Waikato,TRUE,39
Shipping - Waikato,3879,Kihikihi,Waikato,TRUE,39
Shipping - Waikato,3872,Wharepuhunga,Waikato,TRUE,39
Shipping - Waikato,3873,Te Kawa,Waikato,TRUE,39
Shipping - Waikato,3874,Matapara,Waikato,TRUE,39
Shipping - Waikato,3875,Te Mawhai,Waikato,TRUE,39
Shipping - Waikato,3876,Pirongia,Waikato,TRUE,39
Shipping - Waikato,3877,Matapara,Waikato,TRUE,39
Shipping - Waikato,3878,Hauturu,Waikato,TRUE,39
Shipping - Waikato,3781,Waerenga,Waikato,TRUE,39
Shipping - Waikato,3782,Whangamarino,Waikato,TRUE,39
Shipping - Waikato,3981,Arapae,Waikato,TRUE,39
Shipping - Waikato,3982,Puketutu,Waikato,TRUE,39
Shipping - Waikato,3983,Kopaki,Waikato,TRUE,39
Shipping - Waikato,3985,Waitanguru,Waikato,TRUE,39
Shipping - Waikato,3986,Te Kuiti,Waikato,TRUE,39
Shipping - Waikato,3987,Benneydale,Waikato,TRUE,39
Shipping - Waikato,3988,Owhiro,Waikato,TRUE,39
Shipping - Waikato,3894,Te Papatapu,Waikato,TRUE,39
Shipping - Waikato,3895,Moerangi,Waikato,TRUE,39
Shipping - Waikato,3578,Nevesville,Waikato,TRUE,39
Shipping - Waikato,3577,Parawai,Waikato,TRUE,39
Shipping - Waikato,3574,Turua,Waikato,TRUE,39
Shipping - Waikato,3575,Tapu,Waikato,TRUE,39
Shipping - Waikato,3576,Waitakaruru,Waikato,TRUE,39
Shipping - Waikato,3484,Tirau,Waikato,TRUE,39
Shipping - Waikato,3485,Okoroire,Waikato,TRUE,39
Shipping - Waikato,3491,Kinleith,Waikato,TRUE,39
Shipping - Waikato,2696,Opuatia,Waikato,TRUE,39
Shipping - Waikato,2697,Te Kohanga,Waikato,TRUE,39
Shipping - Waikato,2693,Te Kohanga,Waikato,TRUE,39
Shipping - Waikato,2694,Tuakau,Waikato,TRUE,39
Shipping - Waikato,2695,Kaawa,Waikato,TRUE,39
Shipping - Waikato,3381,Kuratau,Waikato,TRUE,39
Shipping - Waikato,3382,Turangi,Waikato,TRUE,39
Shipping - Waikato,3474,Waharoa,Waikato,TRUE,39
Shipping - Waikato,3681,Waihi,Waikato,TRUE,39
Shipping - Waikato,3682,Waihi,Waikato,TRUE,39
Shipping - Waikato,3380,Waitoa,Waikato,TRUE,39
Shipping - Waikato,2681,Glenbrook,Auckland,TRUE,39
Shipping - Waikato,3475,Walton,Waikato,TRUE,39
Shipping - Waikato,3691,Whangamata,Waikato,TRUE,39
Shipping - Waikato,3591,Coroglen,Waikato,TRUE,39
Shipping - Waikato,3592,Coroglen,Waikato,TRUE,39
Shipping - Waikato,2121,Tuakau,Waikato,FALSE,0
Shipping - Waikato,3200,Avalon Industrial,Waikato,FALSE,0
Shipping - Waikato,3204,Dinsdale,Waikato,FALSE,0
Shipping - Waikato,3206,Bader,Waikato,FALSE,0
Shipping - Waikato,3210,Beerescourt,Waikato,FALSE,0
Shipping - Waikato,3214,Claudelands,Waikato,FALSE,0
Shipping - Waikato,3216,Hamilton East,Waikato,FALSE,0
Shipping - Waikato,3218,Temple View,Waikato,FALSE,0
Shipping - Waikato,3225,Raglan,Waikato,FALSE,0
Shipping - Waikato,3300,Morrinsville,Waikato,FALSE,0
Shipping - Waikato,3310,Waitoa,Waikato,FALSE,0
Shipping - Waikato,3320,Te Aroha,Waikato,FALSE,0
Shipping - Waikato,3330,Acacia Bay,Waikato,FALSE,0
Shipping - Waikato,3332,Wairakei,Waikato,FALSE,0
Shipping - Waikato,3334,Tokaanu,Waikato,FALSE,0
Shipping - Waikato,3400,Matamata,Waikato,FALSE,0
Shipping - Waikato,3401,Tamihana,Waikato,FALSE,0
Shipping - Waikato,3410,North Putaruru,Waikato,FALSE,0
Shipping - Waikato,3411,Lichfield,Waikato,FALSE,0
Shipping - Waikato,3415,Arapuni,Waikato,FALSE,0
Shipping - Waikato,3420,Tokoroa,Waikato,FALSE,0
Shipping - Waikato,3421,Mangakino,Waikato,FALSE,0
Shipping - Waikato,3432,Leamington,Waikato,FALSE,0
Shipping - Waikato,3434,Cambridge,Waikato,FALSE,0
Shipping - Waikato,3500,Thames,Waikato,FALSE,0
Shipping - Waikato,3503,Ngatea,Waikato,FALSE,0
Shipping - Waikato,3506,Coromandel,Waikato,FALSE,0
Shipping - Waikato,3508,Tairua,Waikato,FALSE,0
Shipping - Waikato,3510,Whitianga,Waikato,FALSE,0
Shipping - Waikato,3600,Karangahake,Waikato,FALSE,0
Shipping - Waikato,3610,Waihi,Waikato,FALSE,0
Shipping - Waikato,3700,Huntly,Waikato,FALSE,0
Shipping - Waikato,3710,Te Kauwhata,Waikato,FALSE,0
Shipping - Waikato,3720,Ngaruawahia,Waikato,FALSE,0
Shipping - Waikato,3721,Taupiri,Waikato,FALSE,0
Shipping - Waikato,3800,Kihikihi,Waikato,FALSE,0
Shipping - Waikato,3802,Pirongia,Waikato,FALSE,0
Shipping - Waikato,3803,Ohaupo,Waikato,FALSE,0
Shipping - Waikato,3900,Otorohanga,Waikato,FALSE,0
Shipping - Waikato,3910,Te Kuiti,Waikato,FALSE,0
Shipping - Waikato,3912,Piopio,Waikato,FALSE,0
Shipping - Waikato,2342,Tuakau,Waikato,FALSE,0
Shipping - Waikato,2440,Pokeno,Waikato,FALSE,0
Shipping - Waikato,2441,Meremere,Waikato,FALSE,0
Shipping - Waikato,3060,Reporoa,Waikato,FALSE,0
Shipping - Waikato,3240,Hamilton West,Waikato,FALSE,0
Shipping - Waikato,3241,Te Rapa,Waikato,FALSE,0
Shipping - Waikato,3242,Hamilton West,Waikato,FALSE,0
Shipping - Waikato,3243,Frankton Junction,Waikato,FALSE,0
Shipping - Waikato,3244,Hamilton,Waikato,FALSE,0
Shipping - Waikato,3245,Melville,Waikato,FALSE,0
Shipping - Waikato,3246,Melville,Waikato,FALSE,0
Shipping - Waikato,3247,Hamilton East,Waikato,FALSE,0
Shipping - Waikato,3248,Claudelands,Waikato,FALSE,0
Shipping - Waikato,3249,Te Rapa,Waikato,FALSE,0
Shipping - Waikato,3251,Hamilton East,Waikato,FALSE,0
Shipping - Waikato,3252,Claudelands,Waikato,FALSE,0
Shipping - Waikato,3253,Newstead,Waikato,FALSE,0
Shipping - Waikato,3254,Newstead,Waikato,FALSE,0
Shipping - Waikato,3255,Hamilton East,Waikato,FALSE,0
Shipping - Waikato,3256,Claudelands,Waikato,FALSE,0
Shipping - Waikato,3257,Claudelands,Waikato,FALSE,0
Shipping - Waikato,3260,Matangi,Waikato,FALSE,0
Shipping - Waikato,3261,Whatawhata,Waikato,FALSE,0
Shipping - Waikato,3262,Horotiu,Waikato,FALSE,0
Shipping - Waikato,3263,Te Kowhai,Waikato,FALSE,0
Shipping - Waikato,3264,Gordonton,Waikato,FALSE,0
Shipping - Waikato,3265,Raglan,Waikato,FALSE,0
Shipping - Waikato,3266,Te Uku,Waikato,FALSE,0
Shipping - Waikato,3340,Morrinsville,Waikato,FALSE,0
Shipping - Waikato,3341,Waitoa,Waikato,FALSE,0
Shipping - Waikato,3342,Te Aroha,Waikato,FALSE,0
Shipping - Waikato,3343,Te Aroha,Waikato,FALSE,0
Shipping - Waikato,3351,Taupo,Waikato,FALSE,0
Shipping - Waikato,3352,Taupo,Waikato,FALSE,0
Shipping - Waikato,3353,Turangi,Waikato,FALSE,0
Shipping - Waikato,3360,Tarawera,Waikato,FALSE,0
Shipping - Waikato,3440,Matamata,Waikato,FALSE,0
Shipping - Waikato,3441,Waharoa,Waikato,FALSE,0
Shipping - Waikato,3442,Tirau,Waikato,FALSE,0
Shipping - Waikato,3443,Putaruru,Waikato,FALSE,0
Shipping - Waikato,3444,Tokoroa,Waikato,FALSE,0
Shipping - Waikato,3445,Mangakino,Waikato,FALSE,0
Shipping - Waikato,3450,Leamington,Waikato,FALSE,0
Shipping - Waikato,3451,Hautapu,Waikato,FALSE,0
Shipping - Waikato,3540,Thames,Waikato,FALSE,0
Shipping - Waikato,3541,Ngatea,Waikato,FALSE,0
Shipping - Waikato,3542,Whitianga,Waikato,FALSE,0
Shipping - Waikato,3543,Coromandel,Waikato,FALSE,0
Shipping - Waikato,3544,Tairua,Waikato,FALSE,0
Shipping - Waikato,3545,Turua,Waikato,FALSE,0
Shipping - Waikato,3546,Pauanui,Waikato,FALSE,0
Shipping - Waikato,3547,Colville,Waikato,FALSE,0
Shipping - Waikato,3620,Whangamata,Waikato,FALSE,0
Shipping - Waikato,3640,Paeroa,Waikato,FALSE,0
Shipping - Waikato,3641,Waihi,Waikato,FALSE,0
Shipping - Waikato,3643,Whangamata,Waikato,FALSE,0
Shipping - Waikato,3740,Starrtown,Waikato,FALSE,0
Shipping - Waikato,3741,Te Kauwhata,Waikato,FALSE,0
Shipping - Waikato,3742,Ngaruawahia,Waikato,FALSE,0
Shipping - Waikato,3840,Te Awamutu,Waikato,FALSE,0
Shipping - Waikato,3841,Kihikihi,Waikato,FALSE,0
Shipping - Waikato,3843,Kawhia,Waikato,FALSE,0
Shipping - Waikato,3940,Otorohanga,Waikato,FALSE,0
Shipping - Waikato,3941,Te Kuiti,Waikato,FALSE,0
Shipping - Waikato,3942,Piopio,Waikato,FALSE,0
Shipping - Waikato,3943,Hangatiki,Waikato,FALSE,0
Shipping - Waikato,3944,Benneydale,Waikato,FALSE,0
Shipping - Waikato,3945,Mahoenui,Waikato,FALSE,0
Shipping - Waikato,3970,Wairere Falls,Waikato,FALSE,0
Shipping - Waikato,3971,Waitanguru,Waikato,FALSE,0
Shipping - Waikato,4350,Mokau,Waikato,FALSE,0
Shipping - Hawke's Bay,4970,Ti-tree Point,Hawke's Bay,FALSE,0
Shipping - Hawke's Bay,4171,Maraekakaho,Hawke's Bay,TRUE,39
Shipping - Hawke's Bay,4172,Whakatu,Hawke's Bay,TRUE,39
Shipping - Hawke's Bay,4174,Bridge Pa,Hawke's Bay,TRUE,39
Shipping - Hawke's Bay,4175,Omahu,Hawke's Bay,TRUE,39
Shipping - Hawke's Bay,4179,Crownthorpe,Hawke's Bay,TRUE,39
Shipping - Hawke's Bay,4178,Poukawa,Hawke's Bay,TRUE,39
Shipping - Hawke's Bay,4294,Waimarama,Hawke's Bay,TRUE,39
Shipping - Hawke's Bay,4295,Mangakuri Beach,Hawke's Bay,TRUE,39
Shipping - Hawke's Bay,4188,Kotemaori,Hawke's Bay,TRUE,39
Shipping - Hawke's Bay,4181,Tutira,Hawke's Bay,TRUE,39
Shipping - Hawke's Bay,4182,Whirinaki,Hawke's Bay,TRUE,39
Shipping - Hawke's Bay,4183,Waiohiki,Hawke's Bay,TRUE,39
Shipping - Hawke's Bay,4184,Rissington,Hawke's Bay,TRUE,39
Shipping - Hawke's Bay,4186,Napier,Hawke's Bay,TRUE,39
Shipping - Hawke's Bay,4198,Nuhaka,Hawke's Bay,TRUE,39
Shipping - Hawke's Bay,4278,Ongaonga,Hawke's Bay,TRUE,39
Shipping - Hawke's Bay,4279,Ongaonga,Hawke's Bay,TRUE,39
Shipping - Hawke's Bay,4276,Argyll East,Hawke's Bay,TRUE,39
Shipping - Hawke's Bay,4277,Elsthorpe,Hawke's Bay,TRUE,39
Shipping - Hawke's Bay,4189,Raupunga,Hawke's Bay,TRUE,39
Shipping - Hawke's Bay,4792,Erehwon,Hawke's Bay,FALSE,0
Shipping - Hawke's Bay,4286,Ashcott,Hawke's Bay,TRUE,39
Shipping - Hawke's Bay,4287,Takapau,Hawke's Bay,TRUE,39
Shipping - Hawke's Bay,4288,Takapau,Hawke's Bay,TRUE,39
Shipping - Hawke's Bay,3379,Rangitaiki,Hawke's Bay,FALSE,0
Shipping - Hawke's Bay,4271,Aramoana,Hawke's Bay,TRUE,39
Shipping - Hawke's Bay,4272,Waipawa,Hawke's Bay,TRUE,39
Shipping - Hawke's Bay,4273,Tikokino,Hawke's Bay,TRUE,39
Shipping - Hawke's Bay,4274,Tikokino,Hawke's Bay,TRUE,39
Shipping - Hawke's Bay,4275,Waipawa,Hawke's Bay,TRUE,39
Shipping - Hawke's Bay,4281,Hatuma,Hawke's Bay,TRUE,39
Shipping - Hawke's Bay,4282,Flemington,Hawke's Bay,TRUE,39
Shipping - Hawke's Bay,4283,Waipukurau,Hawke's Bay,TRUE,39
Shipping - Hawke's Bay,4284,Blackhead,Hawke's Bay,TRUE,39
Shipping - Hawke's Bay,4285,Waipukurau,Hawke's Bay,TRUE,39
Shipping - Hawke's Bay,4191,Wairoa,Hawke's Bay,TRUE,39
Shipping - Hawke's Bay,4197,Raupunga,Hawke's Bay,TRUE,39
Shipping - Hawke's Bay,4193,Wairoa,Hawke's Bay,TRUE,39
Shipping - Hawke's Bay,4195,Tuai,Hawke's Bay,TRUE,39
Shipping - Hawke's Bay,4196,Wairoa,Hawke's Bay,TRUE,39
Shipping - Hawke's Bay,4122,Hastings,Hawke's Bay,FALSE,0
Shipping - Hawke's Bay,4200,Waipukurau,Hawke's Bay,FALSE,0
Shipping - Hawke's Bay, 4104,Bay View,Hawke's Bay,FALSE,0
Shipping - Hawke's Bay,4112,Meeanee,Hawke's Bay,FALSE,0
Shipping - Hawke's Bay,4110,Onekawa,Hawke's Bay,FALSE,0
Shipping - Hawke's Bay,4120,Hastings,Hawke's Bay,FALSE,0
Shipping - Hawke's Bay,4130,Havelock,Hawke's Bay,FALSE,0
Shipping - Taranaki,4398,Eltham,Taranaki,TRUE,39
Shipping - Taranaki,4399,Moeroa,Taranaki,TRUE,39
Shipping - Taranaki,4671,Okaiawa,Taranaki,TRUE,39
Shipping - Taranaki,4672,Meremere,Taranaki,TRUE,39
Shipping - Taranaki,4673,Te Roti,Taranaki,TRUE,39
Shipping - Taranaki,4674,Ararata,Taranaki,TRUE,39
Shipping - Taranaki,4675,Matapu,Taranaki,TRUE,39
Shipping - Taranaki,4678,Kaupokonui,Taranaki,TRUE,39
Shipping - Taranaki,4679,Riverlea,Taranaki,TRUE,39
Shipping - Taranaki,4386,Kaimiro,Taranaki,TRUE,39
Shipping - Taranaki,4387,Tarata,Taranaki,TRUE,39
Shipping - Taranaki,4388,Te Tawa,Taranaki,TRUE,39
Shipping - Taranaki,4389,Waiongona,Taranaki,TRUE,39
Shipping - Taranaki,4390,Ratapiko,Taranaki,TRUE,39
Shipping - Taranaki,4371,Mangorei,Taranaki,TRUE,39
Shipping - Taranaki,4372,Hillsborough,Taranaki,TRUE,39
Shipping - Taranaki,4373,Lepperton,Taranaki,TRUE,39
Shipping - Taranaki,4374,Oakura,Taranaki,TRUE,39
Shipping - Taranaki,4381,Okato,Taranaki,TRUE,39
Shipping - Taranaki,4681,Oaonui,Taranaki,TRUE,39
Shipping - Taranaki,4682,Waiteika,Taranaki,TRUE,39
Shipping - Taranaki,4684,Upper Kahui,Taranaki,TRUE,39
Shipping - Taranaki,4685,Parihaka Pa,Taranaki,TRUE,39
Shipping - Taranaki,4597,Matukuroa,Taranaki,TRUE,39
Shipping - Taranaki,4598,Hurleyville,Taranaki,TRUE,39
Shipping - Taranaki,4391,Dawson Falls,Taranaki,TRUE,39
Shipping - Taranaki,4393,Huinga,Taranaki,TRUE,39
Shipping - Taranaki,4394,Tuna,Taranaki,TRUE,39
Shipping - Taranaki,4395,Matau,Taranaki,TRUE,39
Shipping - Taranaki,4397,Tahora,Taranaki,TRUE,39
Shipping - Taranaki,4377,Uruti,Taranaki,TRUE,39
Shipping - Taranaki,4375,Okoki,Taranaki,TRUE,39
Shipping - Taranaki,4379,Uruti,Taranaki,TRUE,39
Shipping - Taranaki,4378,Okau,Taranaki,TRUE,39
Shipping - Taranaki,4382,Sentry Hill,Taranaki,TRUE,39
Shipping - Taranaki,4383,Tikorangi,Taranaki,TRUE,39
Shipping - Taranaki,4578,Ahuiti,Taranaki,TRUE,39
Shipping - Taranaki,4588,Tawhiwhi,Taranaki,TRUE,39
Shipping - Taranaki,4591,Nukuhau,Taranaki,TRUE,39
Shipping - Taranaki,4592,Mangawhio,Taranaki,TRUE,39
Shipping - Taranaki,4310,Blagdon,Taranaki,FALSE,0
Shipping - Taranaki,4312,Bell Block,Taranaki,FALSE,0
Shipping - Taranaki,4314,Oakura,Taranaki,FALSE,0
Shipping - Taranaki,4320,Waitara,Taranaki,FALSE,0
Shipping - Taranaki,4322,Eltham,Taranaki,FALSE,0
Shipping - Taranaki,4330,Inglewood,Taranaki,FALSE,0
Shipping - Taranaki,4332,Stratford,Taranaki,FALSE,0
Shipping - Taranaki,4335,Okato,Taranaki,FALSE,0
Shipping - Taranaki,4510,Waverley,Taranaki,FALSE,0
Shipping - Taranaki,4520,Patea,Taranaki,FALSE,0
Shipping - Taranaki,4610,Hawera,Taranaki,FALSE,0
Shipping - Taranaki,4612,Manaia,Taranaki,FALSE,0
