Route Name,Post Codes,Assigned Dates
Auckland (AKL),1344,
Auckland (AKL),1345,
Auckland (AKL),1346,
Auckland (AKL),1347,
Auckland (AKL),1348,
Auckland (AKL),1349,
Auckland (AKL),1350,
Auckland (AKL),1351,
Auckland (AKL),1352,
Auckland (AKL),1440,
Auckland (AKL),1443,
Auckland (AKL),1445,
Auckland (AKL),1446,
Auckland (AKL),1541,
Auckland (AKL),1542,
Auckland (AKL),1543,
Auckland (AKL),1544,
Auckland (AKL),1545,
Auckland (AKL),1546,
Auckland (AKL),1640,
Auckland (AKL),1641,
Auckland (AKL),1642,
Auckland (AKL),1643,
Auckland (AKL),1740,
Auckland (AKL),1741,
Auckland (AKL),1742,
Auckland (AKL),1743,
Auckland (AKL),1744,
Auckland (AKL),1745,
Auckland (AKL),1746,
Auckland (AKL),1840,
Auckland (AKL),1841,
Auckland (AKL),1842,
Auckland (AKL),1843,
Auckland (AKL),2120,
Auckland (AKL),2122,
Auckland (AKL),2123,
Auckland (AKL),2140,
Auckland (AKL),2141,
Auckland (AKL),2142,
Auckland (AKL),2143,
Auckland (AKL),2144,
Auckland (AKL),2145,
Auckland (AKL),2146,
Auckland (AKL),2147,
Auckland (AKL),2148,
Auckland (AKL),2149,
Auckland (AKL),2150,
Auckland (AKL),2151,
Auckland (AKL),2153,
Auckland (AKL),2154,
Auckland (AKL),2155,
Auckland (AKL),2156,
Auckland (AKL),2157,
Auckland (AKL),2158,
Auckland (AKL),2159,
Auckland (AKL),2160,
Auckland (AKL),2240,
Auckland (AKL),2241,
Auckland (AKL),2242,
Auckland (AKL),2243,
Auckland (AKL),2244,
Auckland (AKL),2245,
Auckland (AKL),2246,
Auckland (AKL),2247,
Auckland (AKL),2248,
Auckland (AKL),2340,
Auckland (AKL),2341,
Auckland (AKL),2343,
Auckland (AKL),2344,
Auckland (AKL),2345,
Auckland (AKL),0752,
Auckland (AKL),0755,
Auckland (AKL),0920,
Auckland (AKL),0932,
Auckland (AKL),0930,
Auckland (AKL),0910,
Auckland (AKL),0641,
Auckland (AKL),0642,
Auckland (AKL),0643,
Auckland (AKL),0644,
Auckland (AKL),0645,
Auckland (AKL),0650,
Auckland (AKL),0651,
Auckland (AKL),0652,
Auckland (AKL),0653,
Auckland (AKL),0654,
Auckland (AKL),0655,
Auckland (AKL),0656,
Auckland (AKL),0657,
Auckland (AKL),0660,
Auckland (AKL),0661,
Auckland (AKL),0662,
Auckland (AKL),0663,
Auckland (AKL),0740,
Auckland (AKL),0741,
Auckland (AKL),0742,
Auckland (AKL),0743,
Auckland (AKL),0744,
Auckland (AKL),0745,
Auckland (AKL),0746,
Auckland (AKL),0747,
Auckland (AKL),0748,
Auckland (AKL),0749,
Auckland (AKL),0750,
Auckland (AKL),0751,
Auckland (AKL),0753,
Auckland (AKL),0754,
Auckland (AKL),0756,
Auckland (AKL),0757,
Auckland (AKL),0758,
Auckland (AKL),0800,
Auckland (AKL),0810,
Auckland (AKL),0812,
Auckland (AKL),0814,
Auckland (AKL),0820,
Auckland (AKL),0830,
Auckland (AKL),0840,
Auckland (AKL),0841,
Auckland (AKL),0842,
Auckland (AKL),0843,
Auckland (AKL),0900,
Auckland (AKL),0931,
Auckland (AKL),0940,
Auckland (AKL),0941,
Auckland (AKL),0942,
Auckland (AKL),0943,
Auckland (AKL),0944,
Auckland (AKL),0945,
Auckland (AKL),0946,
Auckland (AKL),0947,
Auckland (AKL),0948,
Auckland (AKL),0950,
Auckland (AKL),0951,
Auckland (AKL),0960,
Auckland (AKL),0961,
Auckland (AKL),0962,
Auckland (AKL),0963,
Auckland (AKL),2402,
Auckland (AKL),0635,
Auckland (AKL),6072,
Auckland (AKL),0632,
Auckland (AKL),0640,
Auckland (AKL),2012,
Auckland (AKL),0616,
Auckland (AKL),0816,
Auckland (AKL),2019,
Auckland (AKL),9032,
Auckland (AKL),,
Auckland (AKL),,
Auckland (AKL),,
Auckland (AKL),,
Auckland (AKL),,
Auckland (AKL),,
Auckland (AKL),,
Auckland (AKL),,
Auckland (AKL),,
Auckland (AKL),,
Auckland (AKL),,
Auckland (AKL),,
Auckland (AKL),,
Auckland (AKL),,
Auckland (AKL),,
Auckland (AKL),,
Auckland (AKL),,
Auckland (AKL),,
Auckland (AKL),,
Auckland (AKL),,
Auckland (AKL),,
Auckland (AKL),,
Auckland (AKL),,
Auckland (AKL),,
Auckland (AKL),,
Auckland (AKL),,
Auckland (AKL),,
Auckland (AKL),,
Auckland (AKL),,
Auckland (AKL),,
Auckland (AKL),,
Auckland (AKL),,
Auckland (AKL),,
Dundin - Queenstown - Wanaka (Otago),9391,2023-03-26
,,2023-04-30
,,2023-05-17
,,2023-06-14
,,2023-07-12
,,2023-08-16
,,2023-09-13
,,2023-10-18
,,2023-11-15
,,2023-12-13
,9392,
,9091,
,9384,
,9383,
,9591,
,9593,
,9291,
,9292,
,9495,
,9493,
,9073,
,9481,
,9482,
,9571,
,9572,
,9587,
,9472,
,9010,
,9013,
,9019,
,9220,
,9300,
,9302,
,9304,
,9305,
,9310,
,9320,
,9330,
,9400,
,9401,
,9410,
,9430,
,9500,
,9532,
South Island Up North (Nelson Tasman),7091,2022-12-20
,,2023-01-31
,,2023-02-28
,,2023-03-28
,,2023-04-16
,,2023-04-28
,,2023-06-12
,,2023-07-10
,,2023-08-14
,,2023-09-11
,,2023-10-16
,,2023-11-13
,,2023-12-11
,7073,
,7196,
,7197,
,7198,
,7077,
,7071,
,7072,
,7081,
,7183,
,7182,
,7173,
,7175,
,7095,
,7096,
,7005,
,7007,
,7010,
,7011,
,7020,
,7022,
,7025,
,7110,
,7120,
,7040,
,7041,
,7042,
,7043,
,7044,
,7045,
,7046,
,7047,
,7048,
,7049,
,7050,
,7051,
,7052,
,7053,
,7054,
,7055,
,7142,
,7143,
,7144,
,7146,
Christchurch,7581,2023-03-27
,,2023-04-17
,,2023-04-29
,,2023-05-16
,,2023-06-13
,,2023-07-11
,,2023-08-15
,,2023-09-12
,,2023-10-17
,,2023-11-14
,,2023-12-12
,7582,
,7583,
,7671,
,7672,
,7674,
,7675,
,7676,
,7677,
,7678,
,7571,
,8972,
,7692,
,7591,
,7476,
,7477,
,7510,
,7520,
,7600,
,7604,
,7608,
,7614,
,7616,
,7630,
,7700,
,8011,
,8013,
,8014,
,8022,
,8023,
,8024,
,8025,
,8041,
,8042,
,8051,
,8052,
,8053,
,8061,
,8062,
,8081,
,8082,
,8083,
,7615,
,7618,
, 7670,
,7612,
"Warkworth, Mangawhai, Whangarei (UPNORTH 1)",4472,2022-12-20
,,2023-02-02
,,2023-03-02
,,2023-03-30
,,2023-04-20
,,2023-05-11
,,2023-06-08
,,2023-07-06
,,2023-08-10
,,2023-09-07
,,2023-10-12
,,2023-11-09
,,2023-12-07
,0486,
,0496,
,0372,
,0373,
,0374,
,0376,
,0377,
,0379,
,0370,
,0181,
,0182,
,0184,
,0478,
,0479,
,0474,
,0472,
,0473,
,0481,
,0482,
,0483,
,0484,
,0573,
,0185,
,0281,
,0282,
,0283,
,0294,
,0295,
,0293,
,0491,
,0492,
,0494,
,0593,
,0594,
,0583,
,0587,
,0588,
,0589,
,0475,
,0476,
,0571,
,0591,
,0592,
,0272,
,0381,
,0391,
,0193,
,0582,
,0975,
,0172,
,0173,
,0175,
,0176,
,0178,
,0179,
,0170,
,0110,
,0112,
,0114,
,0200,
,0202,
,0204,
,0210,
,0211,
,0230,
,0310,
,0405,
,0410,
,0420,
,0505,
,0510,
,0520,
,0530,
Hamilton - Raglan (HAM1),3493,2023-04-29
,,2023-04-04
,,2023-04-15
,,2023-05-05
,,2023-05-12
,,2023-05-19
,,2023-05-26
,,2023-06-02
,,2023-06-09
,,2023-06-16
,,2023-06-23
,,2023-06-30
,,2023-07-07
,,2023-07-14
,,2023-07-21
,,2023-07-28
,,2023-08-04
,,2023-08-11
,,2023-08-18
,,2023-08-25
,,2023-09-01
,,2023-09-08
,,2023-09-15
,,2023-09-22
,,2023-09-29
,,2023-10-06
,,2023-10-13
,,2023-10-20
,,2023-10-27
,,2023-11-03
,,2023-11-10
,,2023-11-17
,,2023-11-24
,,2023-12-01
,,2023-12-08
,,2023-12-15
,,2023-12-22
,3495,
,3496,
,3281,
,3282,
,3283,
,3284,
,3285,
,3286,
,3287,
,3288,
,3289,
,3290,
,3293,
,3771,
,3772,
,3889,
,2474,
,3793,
,3794,
,3881,
,3882,
,3883,
,3885,
,3886,
,3974,
,3296,
,3297,
,2696,
,2697,
,2693,
,2694,
,2695,
,2121,
,3200,
,3204,
,3206,
,3210,
,3214,
,3216,
,3225,
,3432,
,3700,
,3710,
,3720,
,3721,
Hamilton - Rotorua (HAM2),4188,2023-04-29
,,2023-04-04
,,2023-04-15
,,2023-04-27
,,2023-05-06
,,2023-05-13
,,2023-05-27
,,2023-06-03
,,2023-06-24
,,2023-07-15
,,2023-08-05
,,2023-08-26
,,2023-09-16
,,2023-10-07
,,2023-10-28
,,2023-11-18
,,2023-12-09
,,2023-12-23
,3472,
,3473,
,3371,
,3372,
,3373,
,3374,
,3375,
,3074,
,3791,
,3782,
,3474,
,3380,
,3475,
,4108,
,7400,
,3300,
,3310,
,3400,
,3401,
,3410,
,3434,
,0271,
Marlborough,7271,2023-02-28
,,2023-03-28
,,2023-04-16
,,2023-04-28
,,2023-05-15
,,2023-06-12
,,2023-07-10
,,2023-08-14
,,2023-09-11
,,2023-10-16
,,2023-11-13
,,2023-12-11
,7272,
,7273,
,7274,
,7275,
,7276,
,7193,
,7178,
,7281,
,7282,
,7194,
,7192,
,7195,
,7285,
,7100,
,7201,
,7202,
,7204,
,7206,
,7210,
,7220,
,7145,
,7150,
,7240,
,7241,
,7242,
,7243,
,7244,
,7246,
,7247,
,7248,
,7250,
,7251,
,7284,
West Coast,7871,
,7872,
,7884,
,7881,
,7882,
,7883,
,7893,
,7875,
,7895,
,7885,
,7873,
,7891,
,7892,
,7886,
,7802,
,7803,
,7804,
,7805,
,7810,
,7811,
,7812,
,7822,
,7823,
,7825,
,7830,
,7832,
,7840,
,7841,
,7842,
,7843,
,7844,
,7845,
,7846,
,7847,
,7848,
,7851,
,7856,
,7857,
,7859,
,7860,
,7861,
,7862,
,7863,
,7864,
,7865,
,7866,
,7867,
New Plymouth (NP),4371,2023-04-28
,,2023-04-14
,,2023-05-05
,,2023-05-26
,,2023-06-02
,,2023-06-23
,,2023-07-14
,,2023-08-04
,,2023-08-25
,,2023-09-15
,,2023-10-06
,,2023-10-27
,,2023-11-17
,,2023-12-08
,,2023-12-22
,4372,
,4373,
,4310,
,4312,
Wellington (WELL),5791,2023-04-22
,,2023-04-06
,,2023-04-21
,,2023-05-05
,,2023-05-12
,,2023-05-19
,,2023-05-26
,,2023-05-06
,,2023-05-13
,,2023-05-20
,,2023-05-27
,,2023-06-02
,,2023-06-09
,,2023-06-16
,,2023-06-23
,,2023-06-30
,,2023-07-07
,,2023-07-14
,,2023-07-21
,,2023-07-28
,,2023-08-04
,,2023-08-11
,,2023-08-18
,,2023-08-25
,,2023-09-01
,,2023-09-08
,,2023-09-15
,,2023-09-22
,,2023-09-29
,,2023-10-06
,,2023-10-13
,,2023-10-20
,,2023-10-27
,,2023-11-03
,,2023-11-10
,,2023-11-17
,,2023-11-24
,,2023-12-01
,,2023-12-08
,,2023-12-15
,,2023-12-22
,,2023-06-03
,,2023-06-24
,,2023-07-15
,,2023-08-05
,,2023-08-26
,,2023-09-16
,,2023-10-07
,,2023-10-28
,,2023-11-18
,,2023-12-09
,,2023-12-23
,,2023-06-10
,,2023-06-17
,,2023-07-01
,,2023-07-08
,,2023-07-22
,,2023-07-29
,,2023-08-12
,,2023-08-19
,,2023-09-02
,,2023-09-09
,,2023-09-23
,,2023-09-30
,,2023-10-14
,,2023-10-21
,,2023-11-04
,,2023-11-11
,,2023-11-25
,,2023-12-02
,,2023-12-16
,5792,
,5771,
,5772,
,5773,
,5794,
,6972,
,5781,
,5782,
,5783,
,5784,
,5881,
,5883,
,5884,
,5885,
,5886,
,5887,
,5888,
,5889,
,5890,
,5871,
,5872,
,5581,
,5582,
,5583,
,5381,
,5894,
,5371,
,5372,
,5391,
,5373,
,5010,
,5011,
,5012,
,5013,
,5014,
,5016,
,5018,
,5019,
,5022,
,5024,
,5026,
,5028,
,5032,
,5034,
,5036,
,5512,
,5710,
,5711,
,5712,
,5713,
,5810,
,6011,
,6012,
,6022,
,6035,
,6037,
,6021,
,6023,
,6010,
Thames Coromandal (THC),3581,2023-04-13
,,2023-05-04
,,2023-06-01
,,2023-06-29
,,2023-07-27
,,2023-08-31
,,2023-09-28
,,2023-11-02
,,2023-11-30
,3582,
,3583,
,3578,
,3577,
,3500,
,3506,
Tauranga (TAU),3181,2023-04-04
,,2023-04-27
,,2023-04-13
,,2023-05-04
,,2023-05-18
,,2023-05-25
,,2023-07-13
,,2023-06-01
,,2023-06-29
,,2023-07-27
,,2023-08-31
,,2023-09-28
,,2023-11-02
,,2023-11-30
,,2023-06-15
,,2023-08-17
,,2023-09-14
,,2023-10-19
,,2023-11-16
,,2023-12-14
,3171,
,3173,
,3175,
,3176,
,3110,
,3112,
Gisborne (GIS),4071,2023-04-04
,,2023-04-27
,,2023-05-18
,,2023-07-13
,,2023-06-15
,,2023-08-17
,,2023-09-14
,,2023-10-19
,,2023-11-16
,,2023-12-14
,4072,
,4073,
,4078,
,4075,
,4081,
,4082,
,4083,
,4091,
,4092,
,4093,
,4094,
,4087,
,4086,
,4079,
,4077,
,4010,
,4032,
,4022,
,4049,
Taranaki (TAR),4671,2023-03-18
,,2023-04-28
,,2023-04-14
,,2023-05-05
,,2023-05-26
,,2023-06-02
,,2023-06-23
,,2023-07-14
,,2023-08-04
,,2023-08-25
,,2023-09-15
,,2023-10-06
,,2023-11-17
,,2023-12-08
,,2023-12-22
,4672,
,4673,
,4674,
,4675,
,4678,
,4679,
,4374,
,4681,
,4682,
,4684,
,4685,
,4597,
,4598,
,4391,
,4375,
,4588,
,4591,
,4592,
,4314,
,4320,
,4322,
,4332,
,4510,
,4520,
,4610,
,4612,
,4614,
,4616,
Hawke's Bay (HB),4970,2023-04-04
,,2023-04-27
,,2023-05-18
,,2023-07-13
,,2023-06-15
,,2023-08-17
,,2023-09-14
,,2023-10-19
,,2023-11-16
,,2023-12-14
,4398,
,4399,
,4171,
,4172,
,4174,
,4175,
,4179,
,4178,
,4294,
,4295,
,4386,
,4387,
,4388,
,4389,
,4390,
,4376,
,3079,
,4181,
,4182,
,4184,
,4186,
,4381,
,4198,
,4278,
,4279,
,4276,
,4277,
,4471,
,4473,
,4474,
,4475,
,4476,
,4477,
,4478,
,4479,
,4470,
,4481,
,4189,
,4392,
,4393,
,4394,
,4395,
,4396,
,4397,
,4792,
,4286,
,4287,
,4288,
,3179,
,3382,
,4377,
,4379,
,4378,
,4271,
,4272,
,4273,
,4274,
,4275,
,4281,
,4282,
,4283,
,4284,
,4285,
,4191,
,4197,
,4193,
,4195,
,4196,
,4382,
,4383,
,4102,
,4122,
,4202,
,4203,
,4210,
,4200,
,4330,
,4335,
,4410,
,4412,
,4414,
,4500,
, 4104,
,4140,
,4141,
,4142,
,4143,
,4144,
,4145,
,4146,
,4147,
,4148,
,4149,
,4153,
,4154,
,4155,
,4156,
,4157,
,4158,
,4159,
,4160,
,4161,
,4162,
,4163,
,4164,
,4165,
,4166,
,4240,
,4241,
,4242,
,4243,
,4244,
,4245,
,4440,
,4441,
,4442,
,4443,
,4444,
,4445,
,4446,
,4448,
,4340,
,4341,
,4342,
,4343,
,4344,
,4345,
,4347,
,4348,
,4349,
,4351,
,4352,
,4353,
,4360,
,4350,
,4110,
,4120,
,4130,
Taupo,3377,2023-04-29
,,2023-04-15
,,2023-04-22
,,2023-04-06
,,2023-05-06
,,2023-05-20
,,2023-05-27
,,2023-06-03
,,2023-06-24
,,2023-07-15
,,2023-08-05
,,2023-08-26
,,2023-09-16
,,2023-10-07
,,2023-10-28
,,2023-11-18
,,2023-12-09
,,2023-12-23
,,2023-06-10
,,2023-06-17
,,2023-07-01
,,2023-07-08
,,2023-07-22
,,2023-07-29
,,2023-08-12
,,2023-08-19
,,2023-09-02
,,2023-09-09
,,2023-09-23
,,2023-09-30
,,2023-10-14
,,2023-10-21
,,2023-11-04
,,2023-11-11
,,2023-11-25
,,2023-12-02
,,2023-12-16
,3378,
,3379,
,3384,
,3385,
,3330,
,3332,
